	[2011 03 15 14:03:32:828][FATAL]	开始DSD服务线程:0102
	[2011 03 15 14:03:35:968][FATAL]	基站数据获取完毕:0102
	[2011 03 15 14:03:35:968][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:39:468][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:42:968][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:46:468][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:49:968][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:53:484][DEBUG]	0102 有消息队列缓存:0
	[2011 03 15 14:03:56:984][DEBUG]	0102 有消息队列缓存:0
