	[2011 03 15 14:03:32:828][FATAL]	开始DSD服务线程:0101
	[2011 03 15 14:03:33:250][FATAL]	基站数据获取完毕:0101
	[2011 03 15 14:03:33:250][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:36:750][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:40:250][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:43:750][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:47:250][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:50:750][DEBUG]	0101 有消息队列缓存:0
	[2011 03 15 14:03:54:250][DEBUG]	0101 有消息队列缓存:0
